2025-10-20 23:20:20,786 - pyttsx3 voice: Microsoft David Desktop - English (United States)
2025-10-20 23:20:20,787 - Local pyttsx3 TTS ready
2025-10-20 23:20:40,042 - Whisper model loaded successfully
2025-10-20 23:20:40,042 - Using small Vosk model: models/vosk-model-small-en-us-0.15
2025-10-20 23:20:41,015 - Vosk speech recognition initialized
2025-10-20 23:20:41,089 - Using working microphone device 2: Microsoft Sound Mapper - Output
2025-10-20 23:20:42,527 - JARVIS Assistant started
2025-10-20 23:20:42,527 - Starting JARVIS components...
2025-10-20 23:20:42,545 - Activity monitoring started
2025-10-20 23:20:42,577 - Started in text-only mode - audio input disabled
2025-10-20 23:20:42,847 - System Event: PROCESS_STARTED - Discord.exe
2025-10-20 23:20:42,858 - System Event: PROCESS_STARTED - Discord.exe
2025-10-20 23:20:42,886 - System Event: PROCESS_STARTED - Discord.exe
2025-10-20 23:20:42,894 - System Event: PROCESS_STARTED - Discord.exe
2025-10-20 23:20:42,933 - System Event: PROCESS_STARTED - Discord.exe
2025-10-20 23:20:42,947 - System Event: PROCESS_STARTED - Discord.exe
2025-10-20 23:20:43,587 - System tray started
2025-10-20 23:20:43,588 - Speaking (pyttsx3): JARVIS assistant is now active and ready for commands
2025-10-20 23:20:43,588 - JARVIS Assistant fully started
2025-10-20 23:20:43,967 - System Event: SYSTEM_STATUS - System Status - CPU: 32.7%, Memory: 23.9%, Disk: 95.8%, Network: 108.31MB sent, 2482.91MB received
2025-10-20 23:21:14,994 - System Event: SYSTEM_STATUS - System Status - CPU: 3.1%, Memory: 23.7%, Disk: 95.8%, Network: 108.82MB sent, 2485.22MB received
2025-10-20 23:21:46,018 - System Event: SYSTEM_STATUS - System Status - CPU: 0.4%, Memory: 23.9%, Disk: 95.8%, Network: 110.37MB sent, 2491.1MB received
2025-10-20 23:22:17,053 - System Event: SYSTEM_STATUS - System Status - CPU: 10.8%, Memory: 24.0%, Disk: 95.8%, Network: 110.53MB sent, 2491.31MB received
2025-10-20 23:22:48,096 - System Event: SYSTEM_STATUS - System Status - CPU: 23.4%, Memory: 25.8%, Disk: 95.8%, Network: 111.24MB sent, 2503.62MB received
2025-10-20 23:23:19,158 - System Event: SYSTEM_STATUS - System Status - CPU: 31.5%, Memory: 24.4%, Disk: 95.8%, Network: 112.35MB sent, 2554.46MB received
2025-10-20 23:23:50,216 - System Event: SYSTEM_STATUS - System Status - CPU: 29.3%, Memory: 24.1%, Disk: 95.8%, Network: 113.69MB sent, 2609.18MB received
2025-10-20 23:24:21,259 - System Event: SYSTEM_STATUS - System Status - CPU: 33.8%, Memory: 24.1%, Disk: 95.8%, Network: 114.33MB sent, 2636.38MB received
2025-10-20 23:24:52,286 - System Event: SYSTEM_STATUS - System Status - CPU: 33.1%, Memory: 24.2%, Disk: 95.8%, Network: 115.23MB sent, 2676.04MB received
2025-10-20 23:25:22,298 - System Event: PROCESS_STARTED - cmd.exe
2025-10-20 23:25:23,318 - System Event: SYSTEM_STATUS - System Status - CPU: 34.4%, Memory: 24.5%, Disk: 95.8%, Network: 116.77MB sent, 2728.62MB received
2025-10-20 23:25:54,396 - System Event: SYSTEM_STATUS - System Status - CPU: 30.8%, Memory: 24.5%, Disk: 95.8%, Network: 117.45MB sent, 2753.76MB received
2025-10-20 23:26:25,444 - System Event: SYSTEM_STATUS - System Status - CPU: 31.2%, Memory: 24.4%, Disk: 95.8%, Network: 117.99MB sent, 2774.29MB received
2025-10-20 23:26:56,508 - System Event: SYSTEM_STATUS - System Status - CPU: 28.8%, Memory: 24.4%, Disk: 95.8%, Network: 118.6MB sent, 2804.71MB received
2025-10-20 23:27:27,558 - System Event: SYSTEM_STATUS - System Status - CPU: 26.4%, Memory: 24.4%, Disk: 95.8%, Network: 119.07MB sent, 2824.07MB received
2025-10-20 23:27:58,584 - System Event: SYSTEM_STATUS - System Status - CPU: 4.1%, Memory: 24.6%, Disk: 95.8%, Network: 119.79MB sent, 2855.22MB received
2025-10-20 23:28:29,609 - System Event: SYSTEM_STATUS - System Status - CPU: 13.1%, Memory: 24.8%, Disk: 95.8%, Network: 119.86MB sent, 2855.99MB received
2025-10-20 23:29:00,644 - System Event: SYSTEM_STATUS - System Status - CPU: 3.9%, Memory: 24.8%, Disk: 95.8%, Network: 119.96MB sent, 2856.23MB received
2025-10-20 23:29:31,671 - System Event: SYSTEM_STATUS - System Status - CPU: 13.0%, Memory: 25.4%, Disk: 95.8%, Network: 120.64MB sent, 2864.71MB received
2025-10-20 23:30:02,701 - System Event: SYSTEM_STATUS - System Status - CPU: 14.3%, Memory: 26.2%, Disk: 95.9%, Network: 147.98MB sent, 3160.0MB received
2025-10-20 23:30:33,719 - System Event: SYSTEM_STATUS - System Status - CPU: 9.9%, Memory: 26.5%, Disk: 95.9%, Network: 181.51MB sent, 3454.14MB received
2025-10-20 23:31:04,747 - System Event: SYSTEM_STATUS - System Status - CPU: 10.6%, Memory: 26.5%, Disk: 96.0%, Network: 207.69MB sent, 3578.3MB received
2025-10-20 23:31:35,775 - System Event: SYSTEM_STATUS - System Status - CPU: 9.2%, Memory: 26.2%, Disk: 96.0%, Network: 226.52MB sent, 3589.15MB received
2025-10-20 23:32:06,798 - System Event: SYSTEM_STATUS - System Status - CPU: 10.8%, Memory: 26.1%, Disk: 96.0%, Network: 244.17MB sent, 3599.41MB received
2025-10-20 23:32:37,814 - System Event: SYSTEM_STATUS - System Status - CPU: 11.6%, Memory: 26.1%, Disk: 96.0%, Network: 264.07MB sent, 3610.37MB received
2025-10-20 23:33:08,833 - System Event: SYSTEM_STATUS - System Status - CPU: 12.5%, Memory: 26.1%, Disk: 96.0%, Network: 277.04MB sent, 3619.67MB received
2025-10-20 23:33:39,857 - System Event: SYSTEM_STATUS - System Status - CPU: 7.6%, Memory: 26.0%, Disk: 96.0%, Network: 279.88MB sent, 3626.48MB received
